time,temperature,temperature_sigma,decimal_year,n_valid
1970-01-01,3.498511357428037,2.7370875065828404,1970.0416666666667,1002
1970-02-01,3.4438454984180638,2.7289839972426835,1970.125,1002
1970-03-01,3.4215808098065357,2.837376338328969,1970.2083333333333,1002
1970-04-01,3.6290212626743594,2.678950736958037,1970.2916666666667,1002
1970-05-01,3.4169804063378186,2.7513254843327695,1970.375,1002
1970-06-01,3.3972604870890226,2.9701988906864947,1970.4583333333333,1002
1970-07-01,3.388686080330885,2.969509736430461,1970.5416666666667,1002
1970-08-01,3.471578257807906,2.977022095687695,1970.625,1002
1970-09-01,3.5278158942116815,3.0721186849464983,1970.7083333333333,1002
1970-10-01,3.574141424397145,3.004552463918365,1970.7916666666667,1002
1970-11-01,3.4755654754566105,2.836859292238682,1970.875,1002
1970-12-01,3.545487675544049,2.7888505983206393,1970.9583333333333,1002
1971-01-01,3.4351880705122038,2.7619971375001593,1971.0416666666667,1002
1971-02-01,3.3004060650017975,2.8483692498043265,1971.125,1002
1971-03-01,3.1651450943649144,2.855926043892715,1971.2083333333333,1002
1971-04-01,3.4226288582548827,2.7527795010901155,1971.2916666666667,1002
1971-05-01,3.300310820652198,2.829615348182083,1971.375,1002
1971-06-01,3.3232228531338293,2.990558051760311,1971.4583333333333,1002
1971-07-01,3.559884037309932,2.97576500061556,1971.5416666666667,1002
1971-08-01,3.45612207176445,3.020411114056366,1971.625,1002
1971-09-01,3.239789466456985,3.19428791716353,1971.7083333333333,1002
1971-10-01,3.441377641703482,3.3084291073757512,1971.7916666666667,1002
1971-11-01,3.563580065404189,3.1823508808259486,1971.875,1002
1971-12-01,3.4718669514309037,3.09288887962711,1971.9583333333333,1002
1972-01-01,3.477843815236295,2.94343678528296,1972.0416666666667,1002
1972-02-01,3.350484946764234,2.972223370368829,1972.125,1002
1972-03-01,3.323069371247722,2.8842019129618524,1972.2083333333333,1002
1972-04-01,3.2762180671877625,2.8544998978774645,1972.2916666666667,1002
1972-05-01,3.1594457441215886,2.9107094448435458,1972.375,1002
1972-06-01,3.101136464863106,3.0053911024461164,1972.4583333333333,1002
1972-07-01,3.1153052371942236,3.0588294919273924,1972.5416666666667,1002
1972-08-01,3.30451182854478,3.057010718153863,1972.625,1002
1972-09-01,3.2589601636153804,3.1853825495695354,1972.7083333333333,1002
1972-10-01,3.352167622606635,3.102010356863907,1972.7916666666667,1002
1972-11-01,3.6070690640205476,3.0909850701932133,1972.875,1002
1972-12-01,3.4868135067324983,2.9190421044310075,1972.9583333333333,1002
1973-01-01,3.3651840401314974,2.626986382421456,1973.0416666666667,1002
1973-02-01,3.2585237342638544,2.703107651312173,1973.125,1002
1973-03-01,3.2313519241002813,2.701130764086616,1973.2083333333333,1002
1973-04-01,3.179232583107584,2.724265778018484,1973.2916666666667,1002
1973-05-01,3.1022999520428147,2.6381019721955874,1973.375,1002
1973-06-01,3.0624380989000093,2.868649488310644,1973.4583333333333,1002
1973-07-01,3.29846289133923,2.820190440478985,1973.5416666666667,1002
1973-08-01,3.244636168631782,3.0392001849564867,1973.625,1002
1973-09-01,3.381511466639734,3.119350714547925,1973.7083333333333,1002
1973-10-01,3.1833588719763846,3.1796532955730235,1973.7916666666667,1002
1973-11-01,3.360105843110867,3.0550435522796437,1973.875,1002
1973-12-01,3.3238686389749663,2.9335029835432693,1973.9583333333333,1002
1974-01-01,3.2319873160756645,2.892010205799449,1974.0416666666667,1002
1974-02-01,3.0608827333676527,2.864210728284453,1974.125,1002
1974-03-01,3.0993995742346807,2.7452737031206724,1974.2083333333333,1002
1974-04-01,3.130550144251066,2.6440207503811637,1974.2916666666667,1002
